r n_asleep n_awake n_honest_asleep n_honest_dreamy n_honest_awake n_adversary n_all party0_ledger_best_length party0_ledger_best_age party0_ledger_fast_length party0_ledger_fast_age party0_ledger_slow_length party0_ledger_slow_age party0_comms_all_size party0_comms_all_count party0_comms_proposal_size party0_comms_proposal_count party0_comms_piece_block_size party0_comms_piece_block_count party0_comms_piece_vote_size party0_comms_piece_vote_count party1_ledger_best_length party1_ledger_best_age party1_ledger_fast_length party1_ledger_fast_age party1_ledger_slow_length party1_ledger_slow_age party1_comms_all_size party1_comms_all_count party1_comms_proposal_size party1_comms_proposal_count party1_comms_piece_block_size party1_comms_piece_block_count party1_comms_piece_vote_size party1_comms_piece_vote_count party2_ledger_best_length party2_ledger_best_age party2_ledger_fast_length party2_ledger_fast_age party2_ledger_slow_length party2_ledger_slow_age party2_comms_all_size party2_comms_all_count party2_comms_proposal_size party2_comms_proposal_count party2_comms_piece_block_size party2_comms_piece_block_count party2_comms_piece_vote_size party2_comms_piece_vote_count party3_ledger_best_length party3_ledger_best_age party3_ledger_fast_length party3_ledger_fast_age party3_ledger_slow_length party3_ledger_slow_age party3_comms_all_size party3_comms_all_count party3_comms_proposal_size party3_comms_proposal_count party3_comms_piece_block_size party3_comms_piece_block_count party3_comms_piece_vote_size party3_comms_piece_vote_count party4_ledger_best_length party4_ledger_best_age party4_ledger_fast_length party4_ledger_fast_age party4_ledger_slow_length party4_ledger_slow_age party4_comms_all_size party4_comms_all_count party4_comms_proposal_size party4_comms_proposal_count party4_comms_piece_block_size party4_comms_piece_block_count party4_comms_piece_vote_size party4_comms_piece_vote_count partyALWAYSAWAKE_ledger_best_length partyALWAYSAWAKE_ledger_best_age partyALWAYSAWAKE_ledger_fast_length partyALWAYSAWAKE_ledger_fast_age partyALWAYSAWAKE_ledger_slow_length partyALWAYSAWAKE_ledger_slow_age partyALWAYSAWAKE_comms_all_size partyALWAYSAWAKE_comms_all_count partyALWAYSAWAKE_comms_proposal_size partyALWAYSAWAKE_comms_proposal_count partyALWAYSAWAKE_comms_piece_block_size partyALWAYSAWAKE_comms_piece_block_count partyALWAYSAWAKE_comms_piece_vote_size partyALWAYSAWAKE_comms_piece_vote_count
14 0 50 0 0 50 0 50 3 3 3 3 0 0 93889 51 0 0 80289 1 13600 50 3 3 3 3 0 0 93889 51 0 0 80289 1 13600 50 3 3 3 3 0 0 93889 51 0 0 80289 1 13600 50 3 3 3 3 0 0 93889 51 0 0 80289 1 13600 50 3 3 3 3 0 0 93889 51 0 0 80289 1 13600 50 3 3 3 3 0 0 93889 51 0 0 80289 1 13600 50
15 0 50 0 0 50 0 50 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0
16 0 50 0 0 50 0 50 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0 3 3 3 3 0 0 0 0 0 0 0 0 0 0
17 0 50 0 0 50 0 50 3 3 3 3 0 0 4101840 50 4101840 50 0 0 0 0 3 3 3 3 0 0 4101840 50 4101840 50 0 0 0 0 3 3 3 3 0 0 4101840 50 4101840 50 0 0 0 0 3 3 3 3 0 0 4101840 50 4101840 50 0 0 0 0 3 3 3 3 0 0 4101840 50 4101840 50 0 0 0 0 3 3 3 3 0 0 4101840 50 4101840 50 0 0 0 0
18 0 50 0 0 50 0 50 4 4 4 4 0 0 93889 51 0 0 80289 1 13600 50 4 4 4 4 0 0 93889 51 0 0 80289 1 13600 50 4 4 4 4 0 0 93889 51 0 0 80289 1 13600 50 4 4 4 4 0 0 93889 51 0 0 80289 1 13600 50 4 4 4 4 0 0 93889 51 0 0 80289 1 13600 50 4 4 4 4 0 0 93889 51 0 0 80289 1 13600 50
19 0 50 0 0 50 0 50 4 4 4 4 0 0 0 0 0 0 0 0 0 0 4 4 4 4 0 0 0 0 0 0 0 0 0 0 4 4 4 4 0 0 0 0 0 0 0 0 0 0 4 4 4 4 0 0 0 0 0 0 0 0 0 0 4 4 4 4 0 0 0 0 0 0 0 0 0 0 4 4 4 4 0 0 0 0 0 0 0 0 0 0
20 0 50 0 0 50 0 50 4 4 4 4 0 0 0 0 0 0 0 0 0 0 4 4 4 4 0 0 0 0 0 0 0 0 0 0 4 4 4 4 0 0 0 0 0 0 0 0 0 0 4 4 4 4 0 0 0 0 0 0 0 0 0 0 4 4 4 4 0 0 0 0 0 0 0 0 0 0 4 4 4 4 0 0 0 0 0 0 0 0 0 0
21 0 50 0 0 50 0 50 4 4 4 4 0 0 4101840 50 4101840 50 0 0 0 0 4 4 4 4 0 0 4101840 50 4101840 50 0 0 0 0 4 4 4 4 0 0 4101840 50 4101840 50 0 0 0 0 4 4 4 4 0 0 4101840 50 4101840 50 0 0 0 0 4 4 4 4 0 0 4101840 50 4101840 50 0 0 0 0 4 4 4 4 0 0 4101840 50 4101840 50 0 0 0 0
22 0 50 0 0 50 0 50 5 5 5 5 0 0 93889 51 0 0 80289 1 13600 50 5 5 5 5 0 0 93889 51 0 0 80289 1 13600 50 5 5 5 5 0 0 93889 51 0 0 80289 1 13600 50 5 5 5 5 0 0 93889 51 0 0 80289 1 13600 50 5 5 5 5 0 0 93889 51 0 0 80289 1 13600 50 5 5 5 5 0 0 93889 51 0 0 80289 1 13600 50
23 0 50 0 0 50 0 50 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0
24 0 50 0 0 50 0 50 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0 5 5 5 5 0 0 0 0 0 0 0 0 0 0
25 0 50 0 0 50 0 50 5 5 5 5 0 0 4101840 50 4101840 50 0 0 0 0 5 5 5 5 0 0 4101840 50 4101840 50 0 0 0 0 5 5 5 5 0 0 4101840 50 4101840 50 0 0 0 0 5 5 5 5 0 0 4101840 50 4101840 50 0 0 0 0 5 5 5 5 0 0 4101840 50 4101840 50 0 0 0 0 5 5 5 5 0 0 4101840 50 4101840 50 0 0 0 0
26 0 50 0 0 50 0 50 6 6 6 6 0 0 93889 51 0 0 80289 1 13600 50 6 6 6 6 0 0 93889 51 0 0 80289 1 13600 50 6 6 6 6 0 0 93889 51 0 0 80289 1 13600 50 6 6 6 6 0 0 93889 51 0 0 80289 1 13600 50 6 6 6 6 0 0 93889 51 0 0 80289 1 13600 50 6 6 6 6 0 0 93889 51 0 0 80289 1 13600 50
27 0 50 0 0 50 0 50 6 6 6 6 0 0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 0 0 0 0 0 0 0
28 0 50 0 0 50 0 50 6 6 6 6 0 0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 0 0 0 0 0 0 0 6 6 6 6 0 0 0 0 0 0 0 0 0 0
29 0 50 0 0 50 0 50 6 6 6 6 0 0 4101840 50 4101840 50 0 0 0 0 6 6 6 6 0 0 4101840 50 4101840 50 0 0 0 0 6 6 6 6 0 0 4101840 50 4101840 50 0 0 0 0 6 6 6 6 0 0 4101840 50 4101840 50 0 0 0 0 6 6 6 6 0 0 4101840 50 4101840 50 0 0 0 0 6 6 6 6 0 0 4101840 50 4101840 50 0 0 0 0
30 0 50 0 0 50 0 50 7 7 7 7 0 0 93889 51 0 0 80289 1 13600 50 7 7 7 7 0 0 93889 51 0 0 80289 1 13600 50 7 7 7 7 0 0 93889 51 0 0 80289 1 13600 50 7 7 7 7 0 0 93889 51 0 0 80289 1 13600 50 7 7 7 7 0 0 93889 51 0 0 80289 1 13600 50 7 7 7 7 0 0 93889 51 0 0 80289 1 13600 50
31 0 50 0 0 50 0 50 7 7 7 7 0 0 0 0 0 0 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 0 0
32 0 50 0 0 50 0 50 7 7 7 7 0 0 0 0 0 0 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 0 0 7 7 7 7 0 0 0 0 0 0 0 0 0 0
33 0 50 0 0 50 0 50 7 7 7 7 0 0 4101840 50 4101840 50 0 0 0 0 7 7 7 7 0 0 4101840 50 4101840 50 0 0 0 0 7 7 7 7 0 0 4101840 50 4101840 50 0 0 0 0 7 7 7 7 0 0 4101840 50 4101840 50 0 0 0 0 7 7 7 7 0 0 4101840 50 4101840 50 0 0 0 0 7 7 7 7 0 0 4101840 50 4101840 50 0 0 0 0
34 0 50 0 0 50 0 50 8 8 8 8 0 0 93889 51 0 0 80289 1 13600 50 8 8 8 8 0 0 93889 51 0 0 80289 1 13600 50 8 8 8 8 0 0 93889 51 0 0 80289 1 13600 50 8 8 8 8 0 0 93889 51 0 0 80289 1 13600 50 8 8 8 8 0 0 93889 51 0 0 80289 1 13600 50 8 8 8 8 0 0 93889 51 0 0 80289 1 13600 50
35 0 50 0 0 50 0 50 8 8 8 8 0 0 0 0 0 0 0 0 0 0 8 8 8 8 0 0 0 0 0 0 0 0 0 0 8 8 8 8 0 0 0 0 0 0 0 0 0 0 8 8 8 8 0 0 0 0 0 0 0 0 0 0 8 8 8 8 0 0 0 0 0 0 0 0 0 0 8 8 8 8 0 0 0 0 0 0 0 0 0 0
36 0 50 0 0 50 0 50 8 8 8 8 0 0 0 0 0 0 0 0 0 0 8 8 8 8 0 0 0 0 0 0 0 0 0 0 8 8 8 8 0 0 0 0 0 0 0 0 0 0 8 8 8 8 0 0 0 0 0 0 0 0 0 0 8 8 8 8 0 0 0 0 0 0 0 0 0 0 8 8 8 8 0 0 0 0 0 0 0 0 0 0
37 0 50 0 0 50 0 50 8 8 8 8 0 0 4101840 50 4101840 50 0 0 0 0 8 8 8 8 0 0 4101840 50 4101840 50 0 0 0 0 8 8 8 8 0 0 4101840 50 4101840 50 0 0 0 0 8 8 8 8 0 0 4101840 50 4101840 50 0 0 0 0 8 8 8 8 0 0 4101840 50 4101840 50 0 0 0 0 8 8 8 8 0 0 4101840 50 4101840 50 0 0 0 0
38 0 50 0 0 50 0 50 9 9 9 9 0 0 93889 51 0 0 80289 1 13600 50 9 9 9 9 0 0 93889 51 0 0 80289 1 13600 50 9 9 9 9 0 0 93889 51 0 0 80289 1 13600 50 9 9 9 9 0 0 93889 51 0 0 80289 1 13600 50 9 9 9 9 0 0 93889 51 0 0 80289 1 13600 50 9 9 9 9 0 0 93889 51 0 0 80289 1 13600 50
39 0 50 0 0 50 0 50 9 9 9 9 0 0 0 0 0 0 0 0 0 0 9 9 9 9 0 0 0 0 0 0 0 0 0 0 9 9 9 9 0 0 0 0 0 0 0 0 0 0 9 9 9 9 0 0 0 0 0 0 0 0 0 0 9 9 9 9 0 0 0 0 0 0 0 0 0 0 9 9 9 9 0 0 0 0 0 0 0 0 0 0
40 0 50 0 0 50 0 50 9 9 9 9 0 0 0 0 0 0 0 0 0 0 9 9 9 9 0 0 0 0 0 0 0 0 0 0 9 9 9 9 0 0 0 0 0 0 0 0 0 0 9 9 9 9 0 0 0 0 0 0 0 0 0 0 9 9 9 9 0 0 0 0 0 0 0 0 0 0 9 9 9 9 0 0 0 0 0 0 0 0 0 0
41 0 50 0 0 50 0 50 9 9 9 9 0 0 4101890 50 4101890 50 0 0 0 0 9 9 9 9 0 0 4101890 50 4101890 50 0 0 0 0 9 9 9 9 0 0 4101890 50 4101890 50 0 0 0 0 9 9 9 9 0 0 4101890 50 4101890 50 0 0 0 0 9 9 9 9 0 0 4101890 50 4101890 50 0 0 0 0 9 9 9 9 0 0 4101890 50 4101890 50 0 0 0 0
42 0 50 0 0 50 0 50 10 10 10 10 0 0 93890 51 0 0 80290 1 13600 50 10 10 10 10 0 0 93890 51 0 0 80290 1 13600 50 10 10 10 10 0 0 93890 51 0 0 80290 1 13600 50 10 10 10 10 0 0 93890 51 0 0 80290 1 13600 50 10 10 10 10 0 0 93890 51 0 0 80290 1 13600 50 10 10 10 10 0 0 93890 51 0 0 80290 1 13600 50
43 0 50 0 0 50 0 50 10 10 10 10 0 0 0 0 0 0 0 0 0 0 10 10 10 10 0 0 0 0 0 0 0 0 0 0 10 10 10 10 0 0 0 0 0 0 0 0 0 0 10 10 10 10 0 0 0 0 0 0 0 0 0 0 10 10 10 10 0 0 0 0 0 0 0 0 0 0 10 10 10 10 0 0 0 0 0 0 0 0 0 0
44 0 50 0 0 50 0 50 10 10 10 10 0 0 0 0 0 0 0 0 0 0 10 10 10 10 0 0 0 0 0 0 0 0 0 0 10 10 10 10 0 0 0 0 0 0 0 0 0 0 10 10 10 10 0 0 0 0 0 0 0 0 0 0 10 10 10 10 0 0 0 0 0 0 0 0 0 0 10 10 10 10 0 0 0 0 0 0 0 0 0 0
45 0 50 0 0 50 0 50 10 10 10 10 0 0 4101890 50 4101890 50 0 0 0 0 10 10 10 10 0 0 4101890 50 4101890 50 0 0 0 0 10 10 10 10 0 0 4101890 50 4101890 50 0 0 0 0 10 10 10 10 0 0 4101890 50 4101890 50 0 0 0 0 10 10 10 10 0 0 4101890 50 4101890 50 0 0 0 0 10 10 10 10 0 0 4101890 50 4101890 50 0 0 0 0
46 0 50 0 0 50 0 50 11 11 11 11 0 0 93889 51 0 0 80289 1 13600 50 11 11 11 11 0 0 93889 51 0 0 80289 1 13600 50 11 11 11 11 0 0 93889 51 0 0 80289 1 13600 50 11 11 11 11 0 0 93889 51 0 0 80289 1 13600 50 11 11 11 11 0 0 93889 51 0 0 80289 1 13600 50 11 11 11 11 0 0 93889 51 0 0 80289 1 13600 50
47 0 50 0 0 50 0 50 11 11 11 11 1 1 0 0 0 0 0 0 0 0 11 11 11 11 1 1 0 0 0 0 0 0 0 0 11 11 11 11 1 1 0 0 0 0 0 0 0 0 11 11 11 11 1 1 0 0 0 0 0 0 0 0 11 11 11 11 1 1 0 0 0 0 0 0 0 0 11 11 11 11 1 1 0 0 0 0 0 0 0 0
48 0 50 0 0 50 0 50 11 11 11 11 1 1 0 0 0 0 0 0 0 0 11 11 11 11 1 1 0 0 0 0 0 0 0 0 11 11 11 11 1 1 0 0 0 0 0 0 0 0 11 11 11 11 1 1 0 0 0 0 0 0 0 0 11 11 11 11 1 1 0 0 0 0 0 0 0 0 11 11 11 11 1 1 0 0 0 0 0 0 0 0
49 0 50 0 0 50 0 50 11 11 11 11 1 1 4101890 50 4101890 50 0 0 0 0 11 11 11 11 1 1 4101890 50 4101890 50 0 0 0 0 11 11 11 11 1 1 4101890 50 4101890 50 0 0 0 0 11 11 11 11 1 1 4101890 50 4101890 50 0 0 0 0 11 11 11 11 1 1 4101890 50 4101890 50 0 0 0 0 11 11 11 11 1 1 4101890 50 4101890 50 0 0 0 0
50 0 50 0 0 50 0 50 12 12 12 12 1 1 93890 51 0 0 80290 1 13600 50 12 12 12 12 1 1 93890 51 0 0 80290 1 13600 50 12 12 12 12 1 1 93890 51 0 0 80290 1 13600 50 12 12 12 12 1 1 93890 51 0 0 80290 1 13600 50 12 12 12 12 1 1 93890 51 0 0 80290 1 13600 50 12 12 12 12 1 1 93890 51 0 0 80290 1 13600 50
51 0 50 0 0 50 0 50 12 12 12 12 2 2 0 0 0 0 0 0 0 0 12 12 12 12 2 2 0 0 0 0 0 0 0 0 12 12 12 12 2 2 0 0 0 0 0 0 0 0 12 12 12 12 2 2 0 0 0 0 0 0 0 0 12 12 12 12 2 2 0 0 0 0 0 0 0 0 12 12 12 12 2 2 0 0 0 0 0 0 0 0
52 0 50 0 0 50 0 50 12 12 12 12 2 2 0 0 0 0 0 0 0 0 12 12 12 12 2 2 0 0 0 0 0 0 0 0 12 12 12 12 2 2 0 0 0 0 0 0 0 0 12 12 12 12 2 2 0 0 0 0 0 0 0 0 12 12 12 12 2 2 0 0 0 0 0 0 0 0 12 12 12 12 2 2 0 0 0 0 0 0 0 0
53 0 50 0 0 50 0 50 12 12 12 12 2 2 4101890 50 4101890 50 0 0 0 0 12 12 12 12 2 2 4101890 50 4101890 50 0 0 0 0 12 12 12 12 2 2 4101890 50 4101890 50 0 0 0 0 12 12 12 12 2 2 4101890 50 4101890 50 0 0 0 0 12 12 12 12 2 2 4101890 50 4101890 50 0 0 0 0 12 12 12 12 2 2 4101890 50 4101890 50 0 0 0 0
54 0 50 0 0 50 0 50 13 13 13 13 2 2 93890 51 0 0 80290 1 13600 50 13 13 13 13 2 2 93890 51 0 0 80290 1 13600 50 13 13 13 13 2 2 93890 51 0 0 80290 1 13600 50 13 13 13 13 2 2 93890 51 0 0 80290 1 13600 50 13 13 13 13 2 2 93890 51 0 0 80290 1 13600 50 13 13 13 13 2 2 93890 51 0 0 80290 1 13600 50
55 0 50 0 0 50 0 50 13 13 13 13 3 3 0 0 0 0 0 0 0 0 13 13 13 13 3 3 0 0 0 0 0 0 0 0 13 13 13 13 3 3 0 0 0 0 0 0 0 0 13 13 13 13 3 3 0 0 0 0 0 0 0 0 13 13 13 13 3 3 0 0 0 0 0 0 0 0 13 13 13 13 3 3 0 0 0 0 0 0 0 0
56 0 50 0 0 50 0 50 13 13 13 13 3 3 0 0 0 0 0 0 0 0 13 13 13 13 3 3 0 0 0 0 0 0 0 0 13 13 13 13 3 3 0 0 0 0 0 0 0 0 13 13 13 13 3 3 0 0 0 0 0 0 0 0 13 13 13 13 3 3 0 0 0 0 0 0 0 0 13 13 13 13 3 3 0 0 0 0 0 0 0 0
57 0 50 0 0 50 0 50 13 13 13 13 3 3 4101890 50 4101890 50 0 0 0 0 13 13 13 13 3 3 4101890 50 4101890 50 0 0 0 0 13 13 13 13 3 3 4101890 50 4101890 50 0 0 0 0 13 13 13 13 3 3 4101890 50 4101890 50 0 0 0 0 13 13 13 13 3 3 4101890 50 4101890 50 0 0 0 0 13 13 13 13 3 3 4101890 50 4101890 50 0 0 0 0
58 0 50 0 0 50 0 50 14 14 14 14 3 3 93890 51 0 0 80290 1 13600 50 14 14 14 14 3 3 93890 51 0 0 80290 1 13600 50 14 14 14 14 3 3 93890 51 0 0 80290 1 13600 50 14 14 14 14 3 3 93890 51 0 0 80290 1 13600 50 14 14 14 14 3 3 93890 51 0 0 80290 1 13600 50 14 14 14 14 3 3 93890 51 0 0 80290 1 13600 50
59 0 50 0 0 50 0 50 14 14 14 14 4 4 0 0 0 0 0 0 0 0 14 14 14 14 4 4 0 0 0 0 0 0 0 0 14 14 14 14 4 4 0 0 0 0 0 0 0 0 14 14 14 14 4 4 0 0 0 0 0 0 0 0 14 14 14 14 4 4 0 0 0 0 0 0 0 0 14 14 14 14 4 4 0 0 0 0 0 0 0 0
60 0 50 0 0 50 0 50 14 14 14 14 4 4 0 0 0 0 0 0 0 0 14 14 14 14 4 4 0 0 0 0 0 0 0 0 14 14 14 14 4 4 0 0 0 0 0 0 0 0 14 14 14 14 4 4 0 0 0 0 0 0 0 0 14 14 14 14 4 4 0 0 0 0 0 0 0 0 14 14 14 14 4 4 0 0 0 0 0 0 0 0
61 0 50 0 0 50 0 50 14 14 14 14 4 4 4101890 50 4101890 50 0 0 0 0 14 14 14 14 4 4 4101890 50 4101890 50 0 0 0 0 14 14 14 14 4 4 4101890 50 4101890 50 0 0 0 0 14 14 14 14 4 4 4101890 50 4101890 50 0 0 0 0 14 14 14 14 4 4 4101890 50 4101890 50 0 0 0 0 14 14 14 14 4 4 4101890 50 4101890 50 0 0 0 0
62 0 50 0 0 50 0 50 15 15 15 15 4 4 93890 51 0 0 80290 1 13600 50 15 15 15 15 4 4 93890 51 0 0 80290 1 13600 50 15 15 15 15 4 4 93890 51 0 0 80290 1 13600 50 15 15 15 15 4 4 93890 51 0 0 80290 1 13600 50 15 15 15 15 4 4 93890 51 0 0 80290 1 13600 50 15 15 15 15 4 4 93890 51 0 0 80290 1 13600 50
63 0 50 0 0 50 0 50 15 15 15 15 5 5 0 0 0 0 0 0 0 0 15 15 15 15 5 5 0 0 0 0 0 0 0 0 15 15 15 15 5 5 0 0 0 0 0 0 0 0 15 15 15 15 5 5 0 0 0 0 0 0 0 0 15 15 15 15 5 5 0 0 0 0 0 0 0 0 15 15 15 15 5 5 0 0 0 0 0 0 0 0
